gnr;jahr;dim;wert
704;1981;22;3.48
706;1981;21;-4.25
706;1981;22;0.28
707;1981;21;-9.01
707;1981;22;4.08
708;1981;21;0.30
708;1981;22;1.72
709;1981;21;-31.75
709;1981;22;15.64
711;1981;21;-2.27
711;1981;22;-9.14
713;1981;21;1.43
713;1981;22;-5.93
715;1981;21;-8.23
715;1981;22;-3.73
716;1981;21;-0.53
716;1981;22;-3.93
717;1981;21;-1.60
717;1981;22;-2.74
723;1981;21;9.66
723;1981;22;-2.70
724;1981;21;1.46
724;1981;22;-5.86
726;1981;21;3.76
726;1981;22;-3.66
731;1981;21;-1.23
731;1981;22;-0.97
732;1981;21;6.58
732;1981;22;3.51
733;1981;21;-0.82
733;1981;22;-3.06
734;1981;21;-7.56
734;1981;22;4.32
735;1981;21;-1.80
735;1981;22;0.15
736;1981;21;0.54
736;1981;22;1.83
737;1981;21;-5.39
737;1981;22;1.78
738;1981;21;2.40
738;1981;22;-2.56
739;1981;21;6.86
739;1981;22;2.47
740;1981;21;3.71
740;1981;22;10.46
741;1981;21;0.61
741;1981;22;4.29
742;1981;21;7.25
742;1981;22;10.74
743;1981;21;3.18
743;1981;22;-2.32
744;1981;21;-0.50
744;1981;22;-0.95
745;1981;21;3.44
745;1981;22;0.78
746;1981;21;-3.86
746;1981;22;3.34
747;1981;21;-4.50
747;1981;22;-3.88
748;1981;21;-3.70
748;1981;22;5.84
749;1981;21;-0.24
749;1981;22;3.64
750;1981;21;-4.09
750;1981;22;4.05
751;1981;21;2.21
751;1981;22;3.54
754;1981;21;-11.52
754;1981;22;10.85
755;1981;21;-7.93
755;1981;22;4.37
756;1981;21;-1.81
756;1981;22;5.28
761;1981;21;-11.55
761;1981;22;14.23
762;1981;21;-10.55
762;1981;22;17.27
763;1981;21;-7.51
763;1981;22;11.18
766;1981;21;-13.23
766;1981;22;11.30
767;1981;21;-4.12
767;1981;22;6.98
768;1981;21;-2.18
768;1981;22;3.34
769;1981;21;-7.97
769;1981;22;5.70
770;1981;21;-13.65
770;1981;22;7.74
782;1981;21;-8.68
782;1981;22;12.95
783;1981;21;-7.21
783;1981;22;7.26
784;1981;21;-12.35
784;1981;22;9.78
785;1981;21;-7.20
785;1981;22;3.82
786;1981;21;-14.24
786;1981;22;11.54
791;1981;21;-15.17
791;1981;22;12.80
792;1981;21;-7.13
792;1981;22;11.24
793;1981;21;-14.71
793;1981;22;10.66
794;1981;21;-8.10
794;1981;22;7.51
841;1981;21;-6.55
841;1981;22;13.13
842;1981;21;-1.68
842;1981;22;16.24
843;1981;21;-1.65
843;1981;22;13.61
852;1981;21;-12.59
852;1981;22;11.68
853;1981;21;-13.65
853;1981;22;2.94
855;1981;21;-8.49
855;1981;22;2.26
861;1981;21;-0.75
861;1981;22;1.34
863;1981;21;-10.02
863;1981;22;-0.75
865;1981;21;-14.55
865;1981;22;3.49
866;1981;21;-3.08
866;1981;22;6.90
