"jahr";"kt";"Partei";"Wert"
1971;"VD";"1";38,486084
1975;"VD";"1";39,287331
1979;"VD";"1";43,817694
1983;"VD";"1";47,327738
1987;"VD";"1";45,008884
1991;"VD";"1";44,03003
1995;"VD";"1";38,175079
1999;"VD";"1";37,677949
2003;"VD";"1";29,53647
2007;"VD";"1";22,628456
2011;"VD";"1";22,117316
1971;"VS";"1";19,295262
1975;"VS";"1";18,874827
1979;"VS";"1";23,475889
1983;"VS";"1";25,160002
1987;"VS";"1";24,583911
1991;"VS";"1";29,861118
1995;"VS";"1";26,406351
1999;"VS";"1";20,662677
2003;"VS";"1";17,105654
2007;"VS";"1";16,977912
2011;"VS";"1";18,832645
1971;"ZG";"1";0
1975;"ZG";"1";0
1979;"ZG";"1";0
1983;"ZG";"1";0
1987;"ZG";"1";0
1991;"ZG";"1";0
1995;"ZG";"1";0
1999;"ZG";"1";0
2003;"ZG";"1";0
2007;"ZG";"1";21,508613
2011;"ZG";"1";0
1971;"ZH";"1";16,764695
1975;"ZH";"1";18,459036
1979;"ZH";"1";22,386029
1983;"ZH";"1";21,791257
1987;"ZH";"1";20,327364
1991;"ZH";"1";18,664454
1995;"ZH";"1";18,572121
1999;"ZH";"1";17,973263
2003;"ZH";"1";16,247175
2007;"ZH";"1";13,158513
2011;"ZH";"1";11,645237
1971;"AG";"2";19,986491
1975;"AG";"2";20,653078
1979;"AG";"2";22,490203
1983;"AG";"2";21,486908
1987;"AG";"2";18,900268
1991;"AG";"2";14,455471
1995;"AG";"2";14,179394
1999;"AG";"2";16,326222
2003;"AG";"2";15,595199
2007;"AG";"2";13,511705
2011;"AG";"2";10,608756
1971;"AI";"2";96,140503
1975;"AI";"2";98,31336
1979;"AI";"2";97,209057
1983;"AI";"2";95,613603
1987;"AI";"2";91,662095
1991;"AI";"2";98,960044
1995;"AI";"2";85,406091
1999;"AI";"2";72,594142
2003;"AI";"2";69,161677
2007;"AI";"2";84,441162
2011;"AI";"2";76,142257
1971;"AR";"2";0
1975;"AR";"2";14,086814
1979;"AR";"2";0
1983;"AR";"2";14,523516
1987;"AR";"2";0
1991;"AR";"2";16,721102
1995;"AR";"2";9,536928
1999;"AR";"2";0
2003;"AR";"2";0
2007;"AR";"2";0
2011;"AR";"2";10,566211
1971;"BE";"2";2,358534
1975;"BE";"2";2,28338
1979;"BE";"2";1,93192
1983;"BE";"2";1,841264
1987;"BE";"2";1,822337
1991;"BE";"2";2,043163
1995;"BE";"2";1,842763
1999;"BE";"2";2,410498
2003;"BE";"2";2,339081
2007;"BE";"2";4,745739
2011;"BE";"2";2,06313
1971;"BL";"2";15,067969
1975;"BL";"2";14,939977
1979;"BL";"2";13,619385
1983;"BL";"2";11,727436
1987;"BL";"2";13,879286
1991;"BL";"2";13,225265
1995;"BL";"2";11,720955
1999;"BL";"2";11,969117
2003;"BL";"2";10,036952
2007;"BL";"2";11,404841
2011;"BL";"2";8,245491
1971;"BS";"2";11,24469
1975;"BS";"2";12,084094
1979;"BS";"2";13,937232
1983;"BS";"2";9,895508
1987;"BS";"2";9,97681
1991;"BS";"2";10,370143
1995;"BS";"2";9,698907
1999;"BS";"2";8,587662
2003;"BS";"2";6,594862
2007;"BS";"2";7,371264
2011;"BS";"2";6,551666
1971;"FR";"2";41,472868
1975;"FR";"2";46,881953
1979;"FR";"2";39,86849
1983;"FR";"2";37,929793
1987;"FR";"2";37,655844
1991;"FR";"2";36,845089
1995;"FR";"2";35,96167
1999;"FR";"2";33,730415
2003;"FR";"2";25,392763
2007;"FR";"2";24,781338
2011;"FR";"2";20,272807
1971;"GE";"2";13,758183
1975;"GE";"2";14,817435
1979;"GE";"2";14,011401
1983;"GE";"2";12,294904
1987;"GE";"2";14,595405
1991;"GE";"2";14,508937
1995;"GE";"2";13,244503
1999;"GE";"2";14,045757
2003;"GE";"2";11,750264
