kt;jahr;dim;wert
"BS";1993;22;-8.18
"FR";1993;21;2.16
"FR";1993;22;-2.97
"GE";1993;21;9.40
"GE";1993;22;-11.55
"GL";1993;21;-6.27
"GL";1993;22;5.86
"GR";1993;21;-1.45
"GR";1993;22;1.97
"JU";1993;21;3.59
"JU";1993;22;-16.06
"LU";1993;21;-3.15
"LU";1993;22;4.42
"NE";1993;21;5.74
"NE";1993;22;-7.67
"NW";1993;21;-4.03
"NW";1993;22;8.10
"OW";1993;21;-5.62
"OW";1993;22;8.72
"SG";1993;21;-3.77
"SG";1993;22;4.34
"SH";1993;21;-4.82
"SH";1993;22;1.19
"SO";1993;21;-3.75
"SO";1993;22;0.93
"SZ";1993;21;-10.75
"SZ";1993;22;7.18
"TG";1993;21;-6.50
"TG";1993;22;6.25
"TI";1993;21;-3.44
"TI";1993;22;-9.74
"UR";1993;21;-9.01
"UR";1993;22;2.64
"VD";1993;21;7.90
"VD";1993;22;-3.40
"VS";1993;21;-2.43
"VS";1993;22;1.14
"ZG";1993;21;-0.04
"ZG";1993;22;4.29
"ZH";1993;21;2.29
"ZH";1993;22;0.67
"AG";1994;21;-4.08
"AG";1994;22;6.18
"AI";1994;21;-9.92
"AI";1994;22;12.80
"AR";1994;21;-5.37
"AR";1994;22;5.70
"BE";1994;21;0.12
"BE";1994;22;0.89
"BL";1994;21;2.17
"BL";1994;22;-1.81
"BS";1994;21;4.90
"BS";1994;22;-7.27
"FR";1994;21;2.08
"FR";1994;22;-3.53
"GE";1994;21;9.41
"GE";1994;22;-11.63
"GL";1994;21;-6.45
"GL";1994;22;6.02
"GR";1994;21;-1.52
"GR";1994;22;2.09
"JU";1994;21;3.50
"JU";1994;22;-16.46
"LU";1994;21;-3.07
"LU";1994;22;4.57
"NE";1994;21;5.51
"NE";1994;22;-8.48
"NW";1994;21;-4.15
"NW";1994;22;8.12
"OW";1994;21;-5.43
"OW";1994;22;8.61
"SG";1994;21;-3.91
"SG";1994;22;4.67
"SH";1994;21;-4.86
"SH";1994;22;1.31
"SO";1994;21;-3.66
"SO";1994;22;1.01
"SZ";1994;21;-10.66
"SZ";1994;22;7.21
"TG";1994;21;-6.66
"TG";1994;22;6.19
"TI";1994;21;-3.71
"TI";1994;22;-9.51
"UR";1994;21;-9.02
"UR";1994;22;2.61
"VD";1994;21;7.68
"VD";1994;22;-4.28
"VS";1994;21;-2.53
"VS";1994;22;-0.32
"ZG";1994;21;0.00
"ZG";1994;22;4.59
"ZH";1994;21;2.34
"ZH";1994;22;1.12
"AG";1995;21;-4.04
"AG";1995;22;6.06
"AI";1995;21;-10.01
"AI";1995;22;12.81
"AR";1995;21;-5.29
"AR";1995;22;5.82
"BE";1995;21;0.26
"BE";1995;22;0.81
"BL";1995;21;2.18
"BL";1995;22;-1.06
"BS";1995;21;5.02
"BS";1995;22;-6.41
"FR";1995;21;1.97
"FR";1995;22;-4.03
"GE";1995;21;9.33
"GE";1995;22;-11.75
"GL";1995;21;-6.64
"GL";1995;22;6.15
"GR";1995;21;-1.59
"GR";1995;22;2.22
"JU";1995;21;3.33
"JU";1995;22;-16.78
"LU";1995;21;-2.95
"LU";1995;22;4.69
"NE";1995;21;5.24
"NE";1995;22;-9.29
"NW";1995;21;-4.25
"NW";1995;22;8.13
"OW";1995;21;-5.22
"OW";1995;22;8.48
"SG";1995;21;-4.03
"SG";1995;22;4.99
"SH";1995;21;-4.87
"SH";1995;22;1.39
"SO";1995;21;-3.51
"SO";1995;22;1.16
"SZ";1995;21;-10.52
"SZ";1995;22;7.30
"TG";1995;21;-6.76
"TG";1995;22;6.18
"TI";1995;21;-3.93
"TI";1995;22;-9.36
"UR";1995;21;-8.96
"UR";1995;22;2.56
"VD";1995;21;7.40
"VD";1995;22;-5.18
"VS";1995;21;-2.67
"VS";1995;22;-1.63
"ZG";1995;21;0.07
"ZG";1995;22;4.94
"ZH";1995;21;2.39
"ZH";1995;22;1.50
"AG";1996;21;-4.00
"AG";1996;22;5.96
"AI";1996;21;-10.04
"AI";1996;22;12.80
"AR";1996;21;-5.17
"AR";1996;22;5.93
"BE";1996;21;0.40
"BE";1996;22;0.74
"BL";1996;21;2.20
"BL";1996;22;-0.39
"BS";1996;21;5.13
"BS";1996;22;-5.68
"FR";1996;21;1.88
"FR";1996;22;-4.47
"GE";1996;21;9.13
"GE";1996;22;-11.87
"GL";1996;21;-6.85
"GL";1996;22;6.23
"GR";1996;21;-1.68
"GR";1996;22;2.35
"JU";1996;21;3.11
"JU";1996;22;-16.99
"LU";1996;21;-2.80
"LU";1996;22;4.79
"NE";1996;21;4.97
"NE";1996;22;-9.99
"NW";1996;21;-4.32
"NW";1996;22;8.18
"OW";1996;21;-5.01
"OW";1996;22;8.36
"SG";1996;21;-4.13
"SG";1996;22;5.29
"SH";1996;21;-4.84
"SH";1996;22;1.42
"SO";1996;21;-3.32
"SO";1996;22;1.36
"SZ";1996;21;-10.35
"SZ";1996;22;7.44
"TG";1996;21;-6.81
"TG";1996;22;6.21
"TI";1996;21;-4.15
"TI";1996;22;-9.26
"UR";1996;21;-8.84
"UR";1996;22;2.51
"VD";1996;21;7.08
"VD";1996;22;-6.03
"VS";1996;21;-2.83
"VS";1996;22;-2.70
"ZG";1996;21;0.17
"ZG";1996;22;5.31
"ZH";1996;21;2.42
"ZH";1996;22;1.79
"AG";1997;21;-3.94
"AG";1997;22;5.90
"AI";1997;21;-10.03
"AI";1997;22;12.74
"AR";1997;21;-5.03
"AR";1997;22;6.02
"BE";1997;21;0.55
"BE";1997;22;0.69
"BL";1997;21;2.22
